TRANSACTION DATE,DESCRIPTION,TYPE,AMOUNT,expected_class,notes,predicted_class
3/21/2025,Five Star Food Mart,Purchase,-$23.20,essential,Gas/Convenience,flex
3/21/2025,Troy Five Star Food Mar,Purchase,-$6.00,essential,Gas/Convenience,flex
3/20/2025,Walmart,Purchase,-$13.48,essential,Groceries/Household,flex
3/20/2025,Troy Five Star Food Mar,Purchase,-$28.00,essential,Gas/Convenience,flex
3/19/2025,44800 Abdd Llc,Deposit,$109.31,essential,Income,flex
3/14/2025,Ag Travel Plaza,Purchase,-$5.22,essential,Gas/Travel,flex
3/12/2025,44800 Abdd Llc,Deposit,$427.14,essential,Income,flex
02/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$150.00,essential,Credit Card Payment/Refund,flex
02/20/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$27.00,essential,Gas/Convenience,flex
02/16/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$10.00,essential,Gas/Convenience,flex
02/16/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.00,essential,Gas/Convenience,flex
02/15/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.59,essential,Gas/Convenience,flex
02/10/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$24.50,essential,Gas/Convenience,flex
02/09/2025,STEWARTS SHOPS #244 TROY NY,Gasoline,-$4.63,essential,Gas/Convenience,flex
02/09/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$25.22,essential,Gas/Convenience,flex
02/07/2025,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$12.30,essential,Gas/Convenience,flex
02/05/2025,STEWARTS SHOPS #244 TROY NY,Gasoline,-$4.09,essential,Gas/Convenience,flex
01/27/2025,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
01/05/2025,STEWARTS SHOPS #244 TROY NY,Gasoline,-$7.08,essential,Gas/Convenience,flex
12/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
12/24/2024,SHELL OIL 57544070200 NEWBURGH NY,Gasoline,-$5.00,essential,Gas/Convenience,flex
12/23/2024,SHELL OIL 57544070200 NEWBURGH NY,Gasoline,-$5.66,essential,Gas/Convenience,flex
12/13/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$19.50,essential,Gas/Convenience,flex
12/12/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$12.30,essential,Gas/Convenience,flex
12/11/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$27.00,essential,Gas/Convenience,flex
12/04/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$9.09,essential,Gas/Convenience,flex
12/04/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$11.35,essential,Gas/Convenience,flex
12/04/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$13.50,essential,Gas/Convenience,flex
11/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
11/18/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$9.79,essential,Gas/Convenience,flex
11/06/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$27.83,essential,Gas/Convenience,flex
11/04/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$28.29,essential,Gas/Convenience,flex
10/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
10/21/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$27.00,essential,Gas/Convenience,flex
10/17/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.00,essential,Gas/Convenience,flex
10/17/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.50,essential,Gas/Convenience,flex
10/10/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$22.00,essential,Gas/Convenience,flex
10/06/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$26.00,essential,Gas/Convenience,flex
09/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$150.00,essential,Credit Card Payment/Refund,flex
09/23/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$26.00,essential,Gas/Convenience,flex
09/08/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$24.00,essential,Gas/Convenience,flex
09/06/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$22.00,essential,Gas/Convenience,flex
08/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
08/22/2024,STEWARTS SHOPS #244 TROY NY,Gasoline,-$6.03,essential,Gas/Convenience,flex
08/22/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$26.00,essential,Gas/Convenience,flex
08/13/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY516625,Gasoline,-$3.88,essential,Gas/Convenience,flex
08/05/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY517520,Gasoline,-$21.00,essential,Gas/Convenience,flex
07/31/2024,STEWARTS SHOPS #171 NEWBURGH NY,Gasoline,-$10.35,essential,Gas/Convenience,flex
07/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
07/19/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY519520,Gasoline,-$19.11,essential,Gas/Convenience,flex
07/05/2024,CITGO VAILS GATE NEW WINDSOR NY,Gasoline,-$15.00,essential,Gas/Convenience,flex
07/02/2024,STEWARTS SHOPS #244 TROY NY,Gasoline,-$15.70,essential,Gas/Convenience,flex
06/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
06/25/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY522227,Gasoline,-$27.18,essential,Gas/Convenience,flex
06/17/2024,STEWARTS SHOPS #244 TROY NY,Gasoline,-$10.35,essential,Gas/Convenience,flex
06/12/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.50,essential,Gas/Convenience,flex
06/07/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$22.00,essential,Gas/Convenience,flex
06/03/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$15.00,essential,Gas/Convenience,flex
05/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
05/24/2024,STEWARTS SHOPS #329 TROY NY,Gasoline,-$10.00,essential,Gas/Convenience,flex
05/22/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$12.50,essential,Gas/Convenience,flex
05/17/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$11.00,essential,Gas/Convenience,flex
05/16/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY526229,Gasoline,-$12.35,essential,Gas/Convenience,flex
05/13/2024,CUMBERLAND FARMS 1587 SALISBURY MILNY526529,Gasoline,-$20.40,essential,Gas/Convenience,flex
05/11/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$22.00,essential,Gas/Convenience,flex
05/08/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$17.00,essential,Gas/Convenience,flex
04/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
04/27/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$15.00,essential,Gas/Convenience,flex
04/21/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$24.25,essential,Gas/Convenience,flex
04/12/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$20.24,essential,Gas/Convenience,flex
04/07/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$26.00,essential,Gas/Convenience,flex
04/03/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$23.00,essential,Gas/Convenience,flex
03/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
03/25/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$23.00,essential,Gas/Convenience,flex
03/24/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.00,essential,Gas/Convenience,flex
03/23/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$23.75,essential,Gas/Convenience,flex
03/23/2024,FIVE STAR FOOD MART TROY NY,Gasoline,-$22.00,essential,Gas/Convenience,flex
03/23/2024,FIVE STAR FOOD MART TROY NY,Gasoline,-$5.00,essential,Gas/Convenience,flex
03/15/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$24.00,essential,Gas/Convenience,flex
03/13/2024,STEWARTS SHOPS #171 NEWBURGH NY,Gasoline,-$3.45,essential,Gas/Convenience,flex
03/13/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$11.50,essential,Gas/Convenience,flex
03/10/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$20.25,essential,Gas/Convenience,flex
03/06/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$14.00,essential,Gas/Convenience,flex
02/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
02/23/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$24.00,essential,Gas/Convenience,flex
02/20/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$17.00,essential,Gas/Convenience,flex
02/16/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.00,essential,Gas/Convenience,flex
02/10/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$23.00,essential,Gas/Convenience,flex
02/08/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$12.30,essential,Gas/Convenience,flex
02/01/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$23.00,essential,Gas/Convenience,flex
01/27/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$200.00,essential,Credit Card Payment/Refund,flex
01/27/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$20.75,essential,Gas/Convenience,flex
01/22/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.50,essential,Gas/Convenience,flex
01/20/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$19.64,essential,Gas/Convenience,flex
01/13/2024,TROY FIVE STAR FOOD MA TROY NY,Gasoline,-$18.50,essential,Gas/Convenience,flex
01/09/2024,INTERNET PAYMENT - THANK YOU,Payments and Credits,$494.24,essential,Credit Card Payment/Refund,flex
